OBJECTID,Reg_Acro,Acronym,Shelter Name,Status,GIS_ID,Food_Boxe,Food_Cabl,Food_Pole,State,County,Region,District,Trail_Club,Ownership,Latitude,Longitude,height(m),Source
1,NERO,MATC,Chairback Gap Lean-to Shelter,Official A.T. Shelter,SH78,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.45317145,-69.2624151,588.602,2015-2017 Trail Inventory using Trimble GPS Equipment
2,NERO,GMC,Kid Gore Shelter,Official A.T. Shelter,SH273,0,0,0,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.01412143,-73.04293368,819.622,2015-2017 Trail Inventory using Trimble GPS Equipment
3,NERO,MATC,Hall Mtn Lean-to Shelter,Official A.T. Shelter,SH30,0,0,0,Maine,OXFORD,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,44.70090024,-70.82475977,775.938,2015-2017 Trail Inventory using Trimble GPS Equipment
4,NERO,GMC,Stratton Pond Shelter,Official A.T. Shelter,SH205,0,0,0,Vermont,WINDHAM,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.10052774,-72.96404754,792.508,2015-2017 Trail Inventory using Trimble GPS Equipment
5,NERO,MATC,Logan Brook Lean-to Shelter,Official A.T. Shelter,SH176,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.56104047,-69.23476958,706.936,2015-2017 Trail Inventory using Trimble GPS Equipment
6,NERO,AMC,Eliza Brook Shelter,Official A.T. Shelter,SH292,0,0,0,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,FEDERAL FEE - USFS WHITE MTN NF,44.10081104,-71.74237088,701.518,2015-2017 Trail Inventory using Trimble GPS Equipment
7,NERO,MATC,Horns Pond Lean-to Shelter 2,Official A.T. Shelter,SH173,0,0,0,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,STATE FEE - STATE OF MAINE - BIGELOW PRESERVE,45.14385018,-70.32967078,937.856,2015-2017 Trail Inventory using Trimble GPS Equipment
8,NERO,GMC,Bromley Shelter,Official A.T. Shelter,SH201,0,0,0,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.22240836,-72.95050383,755.405,2015-2017 Trail Inventory using Trimble GPS Equipment
9,NERO,GMC,Goddard Shelter,Official A.T. Shelter,SH274,0,0,0,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,42.97411322,-73.07211546,1056.712,2015-2017 Trail Inventory using Trimble GPS Equipment
10,NERO,AMC-BERK,Mt. Wilcox South Shelter 1,Official A.T. Shelter,SH27,0,0,0,Massachusetts,BERKSHIRE,New England,Congressional District 1,AMC - Berkshire Chapter,STATE FEE - STATE OF MASSACHUSETTS - DEM - ARTHUR WHARTON SWANN SF,42.20772071,-73.26826481,533.899,2015-2017 Trail Inventory using Trimble GPS Equipment
11,NERO,MATC,Little Bigelow Lean-to Shelter,Official A.T. Shelter,SH31,0,0,0,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,STATE FEE - STATE OF MAINE - BIGELOW PRESERVE,45.13920376,-70.19116476,531.911,2015-2017 Trail Inventory using Trimble GPS Equipment
12,NERO,MATC,Frye Notch Lean-to Shelter,Official A.T. Shelter,SH77,0,0,0,Maine,OXFORD,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,44.62796459,-70.90042515,680.15,2015-2017 Trail Inventory using Trimble GPS Equipment
13,NERO,GMC,Stony Brook Shelter,Official A.T. Shelter,SH270,0,0,0,Vermont,WINDSOR,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.69181208,-72.73016847,517.614,2015-2017 Trail Inventory using Trimble GPS Equipment
14,NERO,AMC,Garfield Ridge Shelter,Official A.T. Shelter,SH142,2,0,0,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,FEDERAL FEE - USFS WHITE MTN NF,44.19072273,-71.60835475,1196.5,2015-2017 Trail Inventory using Trimble GPS Equipment
15,NERO,MATC,Carl A. Newhall Lean-to Shelter,Official A.T. Shelter,SH175,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.53108165,-69.31511587,568.427,2015-2017 Trail Inventory using Trimble GPS Equipment
16,NERO,AMC-BERK,Mt. Wilcox North Shelter,Official A.T. Shelter,SH28,0,0,0,Massachusetts,BERKSHIRE,New England,Congressional District 1,AMC - Berkshire Chapter,STATE FEE - STATE OF MASSACHUSETTS - DEM - BEARTOWN SF,42.2210691,-73.25020833,569.495,2015-2017 Trail Inventory using Trimble GPS Equipment
17,NERO,AMC-BERK,October Mtn Shelter,Official A.T. Shelter,SH267,0,0,0,Massachusetts,BERKSHIRE,New England,Congressional District 1,AMC - Berkshire Chapter,STATE FEE - STATE OF MASSACHUSETTS - DEM - OCTOBER MTN SF,42.35500646,-73.15415727,557.562,2015-2017 Trail Inventory using Trimble GPS Equipment
18,NERO,GMC,Thistle Hill Shelter,Official A.T. Shelter,SH35,0,0,0,Vermont,WINDSOR,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.69524119,-72.47535447,498.147,2015-2017 Trail Inventory using Trimble GPS Equipment
19,NERO,MATC,Poplar Ridge Lean-to Shelter,Official A.T. Shelter,SH84,0,0,0,Maine,FRANKLIN,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,44.9700644,-70.44592973,876.976,2015-2017 Trail Inventory using Trimble GPS Equipment
20,NERO,MATC,Bald Mtn Brook Lean-to Shelter,Official A.T. Shelter,SH279,0,0,0,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.25844222,-69.79961584,389.107,2015-2017 Trail Inventory using Trimble GPS Equipment
21,NERO,MATC,Hurd Brook Lean-to Shelter,Official A.T. Shelter,SH302,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,STATE EASEMENT - STATE OF MAINE - OWNER = PRIVATE,45.8184923,-69.01847943,196.767,2015-2017 Trail Inventory using Trimble GPS Equipment
22,NERO,GMC,GMC Caretaker Hut Shelter,Official A.T. Shelter,SH128,0,0,0,Vermont,WINDHAM,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.08589927,-72.92484272,1170.104,2015-2017 Trail Inventory using Trimble GPS Equipment
23,NERO,GMC,William B. Douglas Shelter,Official A.T. Shelter,SH204,0,0,0,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS GREEN MTN NF,43.14455074,-72.99091339,648.502,2015-2017 Trail Inventory using Trimble GPS Equipment
24,NERO,AMC-BERK,Mt. Wilcox South Shelter 2,Official A.T. Shelter,NA,0,0,0,Massachusetts,BERKSHIRE,New England,Congressional District 1,AMC - Berkshire Chapter,STATE FEE - STATE OF MASSACHUSETTS - DEM - ARTHUR WHARTON SWANN SF,42.2071972,-73.26730111,526.835,2015-2017 Trail Inventory using Trimble GPS Equipment
25,NERO,MATC,West Carry Pond Lean-to Shelter,Official A.T. Shelter,SH209,0,0,0,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.15805151,-70.09975665,390.647,2015-2017 Trail Inventory using Trimble GPS Equipment
26,NERO,MATC,Potaywadjo Spring Lean-to Shelter,Official A.T. Shelter,SH300,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.70653636,-69.00738905,171.072,2015-2017 Trail Inventory using Trimble GPS Equipment
27,NERO,DOC,Velvet Rocks Shelter,Official A.T. Shelter,SH303,0,0,0,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,FEDERAL FEE - USFS WHITE MTN NF,43.70252677,-72.26471005,274.811,2015-2017 Trail Inventory using Trimble GPS Equipment
28,NERO,MATC,Wadleigh Stream Lean-to Shelter,Official A.T. Shelter,SH301,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.74698217,-69.14449933,167.252,2015-2017 Trail Inventory using Trimble GPS Equipment
29,NERO,DOC,Moose Mtn Shelter,Official A.T. Shelter,SH22,0,0,0,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,FEDERAL FEE - USFS WHITE MTN NF,43.72719739,-72.14925752,614.07,2015-2017 Trail Inventory using Trimble GPS Equipment
30,NERO,MATC,Pierce Pond Lean-to Shelter,Official A.T. Shelter,SH146,0,0,0,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.2402802,-70.05543177,325.242,2015-2017 Trail Inventory using Trimble GPS Equipment
31,NERO,AMC-CT,Stewart Hollow Brook Shelter,Official A.T. Shelter,SH203,0,0,0,Connecticut,LITCHFIELD,New England,Congressional District 5,AMC - Connecticut Chapter,FEDERAL FEE - NPS APPA,41.77929829,-73.41849627,105.121,2015-2017 Trail Inventory using Trimble GPS Equipment
32,NERO,MATC,Horseshoe Canyon Lean-to Shelter,Official A.T. Shelter,SH208,0,0,0,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,FEDERAL FEE - NPS APPA,45.28267767,-69.62767359,238.95,2015-2017 Trail Inventory using Trimble GPS Equipment
33,NERO,AMC-CT,Brassie Brook Shelter,Official A.T. Shelter,SH29,1,0,0,Connecticut,LITCHFIELD,New England,Congressional District 5,AMC - Connecticut Chapter,FEDERAL FEE - NPS APPA,42.02840647,-73.45330248,508.162,2015-2017 Trail Inventory using Trimble GPS Equipment
34,NERO,AMC-BERK,Glen Brook Shelter,Official A.T. Shelter,SH82,1,0,0,Massachusetts,BERKSHIRE,New England,Congressional District 1,AMC - Berkshire Chapter,STATE FEE - STATE OF MASSACHUSETTS - DEM - MT EVERETT STATE RESERVATION,42.111071,-73.42767569,534.856,2015-2017 Trail Inventory using Trimble GPS Equipment
35,NERO,GMC,Melville Nauheim Shelter,Official A.T. Shelter,SH87,0,0,0,Vermont,BENNINGTON,New England,Congressional District (at Large),Green Mountain Club,FEDERAL FEE - USFS - GREEN MTN NF,42.88786174,-73.09556663,720.704,2015-2017 Trail Inventory using Trimble GPS Equipment
36,NERO,AMC-CT,Ten Mile River Shelter,Official A.T. Shelter,SH76,0,0,0,Connecticut,FAIRFIELD,New England,Congressional District 5,AMC - Connecticut Chapter,FEDERAL FEE - NPS APPA,41.66517109,-73.50963469,67.022,2015-2017 Trail Inventory using Trimble GPS Equipment
